網址,標題
https://crazy.ck101.com/post/14087,他究竟是誰? 廠商爭相要他吐嘈!又是作家又是部落客又可以當網紅! 點擊率單篇最高達700萬!
https://crazy.ck101.com/post/14085,48歲莫文蔚魔鬼身材超絕!  四攻巨蛋 體力好比足球員!  火辣身材靠禁食 連唱3.5小時 不休息 !歌迷直呼:這是我看過最有誠意的一場!
https://crazy.ck101.com/post/14076,陸配帶豬絞肉入境要包湯圓　遭開罰20萬痛哭失聲
https://crazy.ck101.com/post/14073,黃國昌讚學生抗議有勇氣，結果被外界抨擊撻伐
https://crazy.ck101.com/post/14070,泳池內看妹！噁男水下脫褲遭透明牆出賣 下場糗翻
https://crazy.ck101.com/post/14069,媽寶政客？韓國瑜局長推稱「都是媽媽買的票」
https://crazy.ck101.com/post/14067,最大豬隊友！江宜樺曾謊稱不知情，馬讚支持江血腥鎮壓
https://crazy.ck101.com/post/14066,聖人難尋? KMT沒人才了? 中高準市長未上任就酬庸分贓
https://crazy.ck101.com/post/14054,2018已經過了94.8794%
https://crazy.ck101.com/post/14053,花428萬證明多輸313票，丁守中要求國家賠償
https://crazy.ck101.com/post/14051,「從此拒吃吳寶春麵包」鄭弘儀：你數鈔票真那麼愉快嗎？
https://crazy.ck101.com/post/14050,神奇的變出99張票的北市選舉
https://crazy.ck101.com/post/14048,亂傳高雄港埠大樓塌 造謠男被警方查水表了
https://crazy.ck101.com/post/14041,蔡丁貴稱「領宅神雞排的是中國臨演」???
https://crazy.ck101.com/post/14039,屁孩殺蟲劑罐丟金爐炸傷人　結果竟要廟方賠
https://crazy.ck101.com/post/14038,高雄教育局長要經過宗教團體確認？！
https://crazy.ck101.com/post/14031,無
https://crazy.ck101.com/post/14022,「不敢咬逆啦！」直播主伸手挑釁青竹絲　然後牠就咬下去惹
https://crazy.ck101.com/post/14021,中國豬瘟大爆發 TVBS還在業配香腸 秀下限
https://crazy.ck101.com/post/14020,與世隔絕6萬年！傳教士登島遭「原始人」箭雨射死沙灘
https://crazy.ck101.com/post/14010,劉樂妍投完票爽喊：我投XXX！被檢舉…秒變孬求不要播
https://crazy.ck101.com/post/14006,【案件回顧】民進黨高雄小港前鎮議員參選人 陳致中與其父親 陳水扁的重大司法案件回顧
https://crazy.ck101.com/post/14005,【疑雲重重】民進黨議員參選人 陳致中父親 陳水扁獲法務部展延第14次保外就醫
https://crazy.ck101.com/post/14000,笑死佔中香港人！韓導網軍切換身分跑錯場
https://crazy.ck101.com/post/13997,香港浸會大學宿舍灑麵粉慶生釀爆炸　12學生燒傷
https://crazy.ck101.com/post/13996,侯友宜細數治安敗壞時期，竟仍攬功收割謝長廷功勞
https://crazy.ck101.com/post/13994,從金馬言論爭議到東奧正名公投：是誰讓周子瑜事件不斷重演？
https://crazy.ck101.com/post/13993,選前霉體奧步再現！中天說三立給韓導塗護唇膏導致失常
https://crazy.ck101.com/post/13990,昨天女友幫我這樣按，今天我竟然⋯⋯
https://crazy.ck101.com/post/13989,一場高雄選舉直球辯論   讓外溢效應持續發酵
https://crazy.ck101.com/post/13987,選舉一路造假！直播辯論公然扯謊  遭大學院長回覆打臉
https://crazy.ck101.com/post/13986,挑戰在台中的大學售出百罐蜂蜜檸檬！正妹的反應出乎意料？！
https://crazy.ck101.com/post/13984,選前奧步再現！寧願繳50萬罰金也要觸法提民調
https://crazy.ck101.com/post/13983,生為中國人的悲哀！主場馬拉松被硬塞國旗失冠軍
https://crazy.ck101.com/post/13979,國民黨輔選韓國瑜  惡意攻擊陳菊「肥滋滋大母豬」
https://crazy.ck101.com/post/13978,批評別人的競選經費反遭自己被打臉???
https://crazy.ck101.com/post/13976,候選人政見太狂 單身網友嗨爆
